Index;Episode;Action;Reward;Remaining length;Loss;NN Output;Punto objetivo;Posición actual
1;890;7;20,68;19,32;0;0;[19, -3, -4,];[ 2,35 -0,37 -2,27]
2;890;6;23,06;16,94;0;0;[19, -3, -4,];[ 2,54 -0,4  -2,25]
3;890;6;23,25;16,75;0;0;[19, -3, -4,];[ 2,76 -0,44 -2,22]
4;890;6;23,46;16,54;0;0;[19, -3, -4,];[ 2,95 -0,47 -2,17]
5;890;2;23,65;16,35;0;"[ 0,        0,       57,199696  0,        0,       55,60706   0,
  0,        0,      ]";[19, -3, -4,];[ 8,9  -2,11 -0,32]
6;890;5;29,21;10,79;0;0;[19, -3, -4,];[ 9,07 -2,16 -0,28]
7;890;5;29,36;10,64;0;0;[19, -3, -4,];[ 9,26 -2,22 -0,22]
8;890;5;29,52;10,48;0;0;[19, -3, -4,];[ 9,43 -2,27 -0,18]
9;890;1;-10;999;0;"[60,362076 61,293976 59,84702   0,        0,       59,19455   0,
 60,129097  0,      ]";[19, -3, -4,];[ 9,54 -2,31 -0,15]
10;891;5;20,86;19,14;0;0;[19, -2, -1,];[ 2,47 -0,26 -1,69]
11;891;3;23,36;16,64;0;0;[19, -2, -1,];[ 2,66 -0,28 -1,68]
12;891;0;23,56;16,44;0;0;[19, -2, -1,];[ 2,86 -0,3  -1,67]
13;891;8;23,76;16,24;0;0;[19, -2, -1,];[ 3,06 -0,32 -1,67]
14;891;2;23,96;16,04;0;"[ 0,        0,       57,047523  0,        0,       55,52872   0,
  0,        0,      ]";[19, -2, -1,];[ 3,31 -0,35 -1,66]
15;891;6;24,21;15,79;0;0;[19, -2, -1,];[ 3,5  -0,37 -1,67]
16;891;4;24,4;15,6;0;0;[19, -2, -1,];[ 3,69 -0,39 -1,67]
17;891;0;24,59;15,41;0;0;[19, -2, -1,];[ 3,87 -0,41 -1,67]
18;891;3;24,77;15,23;0;0;[19, -2, -1,];[ 4,06 -0,43 -1,69]
19;891;7;24,97;15,03;0;0;[19, -2, -1,];[ 4,25 -0,45 -1,68]
20;891;6;25,15;14,85;0;0;[19, -2, -1,];[ 4,44 -0,47 -1,67]
21;891;1;25,34;14,66;0;"[ 0,       60,797543 58,462387  0,        0,       56,994392  0,
 58,962284  0,      ]";[19, -2, -1,];[ 4,63 -0,49 -1,64]
22;891;8;25,53;14,47;0;0;[19, -2, -1,];[ 4,81 -0,51 -1,63]
23;891;7;25,72;14,28;0;"[ 0,        0,       58,830498  0,        0,        0,        0,
 59,334282  0,      ]";[19, -2, -1,];[ 5,04 -0,54 -1,59]
24;891;4;25,95;14,05;0;0;[19, -2, -1,];[ 5,23 -0,57 -1,55]
25;891;7;26,15;13,85;0;0;[19, -2, -1,];[ 5,41 -0,59 -1,51]
26;891;1;26,33;13,67;0;"[ 0,       61,72606  59,412987  0,        0,        0,        0,
 59,91777  58,10452 ]";[19, -2, -1,];[ 5,6  -0,61 -1,46]
27;891;4;26,52;13,48;0;0;[19, -2, -1,];[ 5,78 -0,63 -1,43]
28;891;3;26,71;13,29;0;0;[19, -2, -1,];[ 5,97 -0,66 -1,38]
29;891;0;26,9;13,1;0;"[60,547035  0,        0,        0,        0,       58,545425  0,
 60,449352 58,628593]";[19, -2, -1,];[ 6,16 -0,68 -1,34]
30;891;8;27,09;12,91;0;0;[19, -2, -1,];[ 6,34 -0,7  -1,31]
31;891;0;27,27;12,73;0;0;[19, -2, -1,];[ 6,53 -0,73 -1,27]
32;891;1;27,46;12,54;0;0;[19, -2, -1,];[ 6,72 -0,75 -1,25]
33;891;4;27,65;12,35;0;0;[19, -2, -1,];[ 6,9  -0,78 -1,23]
34;891;1;27,83;12,17;0;"[61,53682  63,101723 60,831493  0,        0,        0,        0,
 61,3391    0,      ]";[19, -2, -1,];[ 7,14 -0,81 -1,2 ]
35;891;7;28,08;11,92;0;"[ 0,       0,       0,       0,       0,       0,       0,      61,57347
  0,     ]";[19, -2, -1,];[ 7,38 -0,85 -1,19]
36;891;0;28,32;11,68;0;0;[19, -2, -1,];[ 7,57 -0,87 -1,18]
37;891;3;28,51;11,49;0;0;[19, -2, -1,];[ 7,75 -0,9  -1,18]
38;891;0;28,7;11,3;0;0;[19, -2, -1,];[ 7,95 -0,93 -1,18]
39;891;7;28,9;11,1;0;0;[19, -2, -1,];[ 8,13 -0,96 -1,19]
40;891;0;29,08;10,92;0;"[62,91465   0,       62,039486  0,        0,        0,        0,
 62,566364  0,      ]";[19, -2, -1,];[ 8,37 -1,   -1,18]
41;891;3;29,32;10,68;0;0;[19, -2, -1,];[ 8,57 -1,04 -1,2 ]
42;891;1;29,52;10,48;0;"[63,398598 64,72379  62,458263  0,        0,        0,        0,
 62,994133  0,      ]";[19, -2, -1,];[ 8,8  -1,08 -1,21]
43;891;6;29,76;10,24;0;0;[19, -2, -1,];[ 8,99 -1,12 -1,23]
44;891;0;29,94;10,06;0;"[63,86158   0,       62,85542   0,        0,       61,593163  0,
 63,40126   0,      ]";[19, -2, -1,];[ 9,22 -1,17 -1,24]
45;891;7;30,19;9,81;0;"[ 0,        0,       63,080505  0,        0,       61,830284  0,
 63,6322    0,      ]";[19, -2, -1,];[ 9,46 -1,22 -1,29]
46;891;2;30,43;9,57;0;0;[19, -2, -1,];[ 9,65 -1,26 -1,31]
47;891;3;30,61;9,39;0;0;[19, -2, -1,];[ 9,83 -1,3  -1,35]
48;891;1;30,8;9,2;0;"[ 0,       65,93886  63,655846  0,        0,        0,        0,
  0,        0,      ]";[19, -2, -1,];[10,07 -1,36 -1,38]
49;891;0;31,04;8,96;0;"[65,07309  0,       0,       0,       0,       0,       0,       0,
 62,62478]";[19, -2, -1,];[10,3  -1,41 -1,45]
50;891;7;31,27;8,73;0;"[ 0,        0,       64,09841   0,        0,       62,90309   0,
 64,68661  62,856216]";[19, -2, -1,];[10,52 -1,47 -1,51]
51;891;5;31,49;8,51;0;0;[19, -2, -1,];[10,71 -1,51 -1,55]
52;891;5;31,68;8,32;0;0;[19, -2, -1,];[10,89 -1,56 -1,6 ]
53;891;1;31,86;8,14;0;"[ 0,      66,97717  0,       0,       0,       0,       0,       0,
  0,     ]";[19, -2, -1,];[11,13 -1,61 -1,65]
54;891;2;32,09;7,91;0;0;[19, -2, -1,];[11,31 -1,65 -1,72]
55;891;7;32,27;7,73;0;0;[19, -2, -1,];[11,48 -1,69 -1,78]
56;891;1;32,44;7,56;0;"[ 0,       67,580284  0,        0,        0,        0,        0,
  0,        0,      ]";[19, -2, -1,];[11,72 -1,75 -1,85]
57;891;1;32,67;7,33;0;"[ 0,      67,82164  0,       0,       0,      64,34583  0,      66,11827
  0,     ]";[19, -2, -1,];[11,95 -1,8  -1,95]
58;891;1;32,88;7,12;0;"[ 0,       68,066864  0,        0,        0,       64,58612   0,
  0,       64,54854 ]";[19, -2, -1,];[12,18 -1,85 -2,07]
59;891;1;33,1;6,9;0;"[67,57302 68,3273   0,       0,       0,       0,       0,      66,61838
 64,81018]";[19, -2, -1,];[12,4  -1,89 -2,19]
60;891;0;33,29;6,71;0;"[67,85699  0,       0,       0,       0,      65,07698  0,       0,
 65,05971]";[19, -2, -1,];[12,62 -1,94 -2,34]
61;891;7;33,48;6,52;0;0;[19, -2, -1,];[12,8  -1,98 -2,46]
62;891;0;33,63;6,37;0;"[68,40381   0,       66,611534  0,        0,        0,        0,
  0,        0,      ]";[19, -2, -1,];[13,04 -2,03 -2,61]
63;891;2;33,82;6,18;0;0;[19, -2, -1,];[13,22 -2,07 -2,74]
64;891;0;33,96;6,04;36,24;"[68,540245  0,        0,        0,        0,        0,        0,
 67,4004    0,      ]";[19, -2, -1,];[13,44 -2,13 -2,92]
65;891;0;34,12;5,88;36,64;"[60,238262  0,        0,        0,        0,        0,        0,
 58,897797  0,      ]";[19, -2, -1,];[17,77 -3,51 -6,75]
66;891;5;33,93;6,07;33,8;0;[19, -2, -1,];[ 21,56  -5,01 -10,38]
67;891;6;29,82;10,18;41,44;0;[19, -2, -1,];[ 25,32  -6,19 -13,74]
68;891;7;25,17;14,83;36,92;"[ 0,       52,618427 51,878536  0,        0,        0,        0,
 53,84258  51,13417 ]";[19, -2, -1,];[ 29,26  -7,79 -16,9 ]
69;891;7;20,21;19,79;41,66;0;[19, -2, -1,];[ 32,97  -9,27 -19,6 ]
