Index,Episode,Action,Reward,Remaining length,Loss,NN Output,Punto objetivo,Posición actual
1,1640,0,21.09,18.91,0,"[54.38307   0.       51.059303  0.        0.        0.        0.
  0.        0.      ]",[-10.  16.  -1.],[-5.19  8.3  -1.49]
2,1640,7,30.91,9.09,0,"[63.87993  62.647675  0.        0.        0.       61.724724  0.
 64.84277   0.      ]",[-10.  16.  -1.],[-5.45  8.72 -1.47]
3,1640,4,31.4,8.6,0,0,[-10.  16.  -1.],[-5.62  8.98 -1.45]
4,1640,8,31.71,8.29,0,0,[-10.  16.  -1.],[-5.8   9.27 -1.42]
5,1640,8,32.06,7.94,0,0,[-10.  16.  -1.],[-5.96  9.51 -1.38]
6,1640,0,32.34,7.66,0,0,[-10.  16.  -1.],[-6.12  9.76 -1.33]
7,1640,0,32.65,7.35,0,"[65.536125 64.43636  63.66474   0.        0.        0.        0.
  0.        0.      ]",[-10.  16.  -1.],[-6.27 10.01 -1.3 ]
8,1640,1,32.94,7.06,0,0,[-10.  16.  -1.],[-6.43 10.26 -1.29]
9,1640,7,33.23,6.77,0,0,[-10.  16.  -1.],[-6.59 10.51 -1.28]
10,1640,4,33.53,6.47,0,0,[-10.  16.  -1.],[-6.75 10.75 -1.26]
11,1640,7,33.82,6.18,0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],[-10.  16.  -1.],[-6.94 11.06 -1.24]
12,1640,8,34.18,5.82,0,0,[-10.  16.  -1.],[-7.1  11.3  -1.19]
13,1640,4,34.47,5.53,0,0,[-10.  16.  -1.],[-7.25 11.54 -1.13]
14,1640,2,34.76,5.24,0,0,[-10.  16.  -1.],[-7.4  11.77 -1.09]
15,1640,3,35.03,4.97,0,0,[-10.  16.  -1.],[-7.54 11.99 -1.05]
16,1640,5,35.3,4.7,0,0,[-10.  16.  -1.],[-7.7  12.25 -1.  ]
17,1640,6,35.6,4.4,0,0,[-10.  16.  -1.],[-7.85 12.48 -0.94]
18,1640,0,35.87,4.13,0,0,[-10.  16.  -1.],[-8.01 12.73 -0.88]
19,1640,8,36.17,3.83,0,0,[-10.  16.  -1.],[-8.16 12.97 -0.84]
20,1640,1,36.45,3.55,0,"[ 0.      68.24514 67.659    0.       0.       0.       0.       0.
 68.13417]",[-10.  16.  -1.],[-8.34 13.26 -0.77]
21,1640,8,36.79,3.21,0,0,[-10.  16.  -1.],[-8.5  13.51 -0.73]
22,1640,7,37.08,2.92,0,0,[-10.  16.  -1.],[-8.65 13.75 -0.67]
23,1640,7,37.35,2.65,0,0,[-10.  16.  -1.],[-8.81 14.   -0.58]
24,1640,4,37.63,2.37,0,0,[-10.  16.  -1.],[-8.95 14.23 -0.48]
25,1640,3,-10,999,0,0,[-10.  16.  -1.],[-8.93 14.19 -0.5 ]
26,1641,0,14.43,25.57,0,0,[ -9.  17. -19.],[-1.25  2.36 -5.13]
27,1641,4,18.39,21.61,0,0,[ -9.  17. -19.],[-1.36  2.57 -5.35]
28,1641,6,18.72,21.28,0,0,[ -9.  17. -19.],[-1.47  2.78 -5.54]
29,1641,3,19.02,20.98,0,0,[ -9.  17. -19.],[-1.58  2.99 -5.73]
30,1641,7,19.33,20.67,0,0,[ -9.  17. -19.],[-1.69  3.19 -5.93]
31,1641,7,19.63,20.37,0,"[ 0.       44.524204  0.        0.        0.       44.12033   0.
 48.541218 47.46244 ]",[ -9.  17. -19.],[-1.82  3.43 -6.14]
32,1641,5,19.97,20.03,0,0,[ -9.  17. -19.],[-1.93  3.62 -6.31]
33,1641,5,20.25,19.75,0,0,[ -9.  17. -19.],[-2.04  3.83 -6.5 ]
34,1641,5,20.55,19.45,0,0,[ -9.  17. -19.],[-2.16  4.04 -6.69]
35,1641,1,20.86,19.14,0,0,[ -9.  17. -19.],[-2.27  4.26 -6.89]
36,1641,1,21.18,18.82,0,"[ 0.       46.639725  0.        0.        0.       46.092957  0.
  0.        0.      ]",[ -9.  17. -19.],[-2.41  4.52 -7.18]
