Action, Reward , Loss, Remaining length, Punto objetivo
############# EPISODIO 0#################
Punto alcanzado 
5, 3.1623360640606597, 0, 7.855548143386841,[  0.   0. -10.],[4.2271280920047616e-10, 0.07302108407020569, -9.907089233398438]
5, 30.0, 0, 0.1181714401591098,[  0.   0. -10.],[3.57928442440425e-09, 0.37348493933677673, -9.967190742492676]
Punto alcanzado 
5, 1.2155215010010803, 0, 20.517303811088887,[-18.  -8. -15.],[-2.5102710723876953, 0.20447632670402527, -10.932647705078125]
5, 1.3854926056205654, 0, 17.99412372796637,[-18.  -8. -15.],[-2.9033448696136475, 0.3121178150177002, -11.07323169708252]
6, 1.4104053105002488, 0, 17.675401211891984,[-18.  -8. -15.],[-3.2939131259918213, 0.5649904608726501, -10.901089668273926]
6, 1.4240862139017587, 0, 17.505116927579945,[-18.  -8. -15.],[-3.694546937942505, 0.6192956566810608, -10.243194580078125]
6, 1.4354913404443177, 0, 17.365639715570783,[-18.  -8. -15.],[-4.090089321136475, 0.38335198163986206, -9.505514144897461]
7, 1.453899787917282, 0, 17.145132847369496,[-18.  -8. -15.],[-4.478862285614014, 0.022125111892819405, -8.720264434814453]
7, 1.472356651719107, 0, 16.92958165965446,[-18.  -8. -15.],[-4.869792461395264, -0.25021275877952576, -7.963817596435547]
6, 1.4843891295505607, 0, 16.791944947124094,[-18.  -8. -15.],[-5.259677886962891, -0.48014166951179504, -7.22129487991333]
6, 1.491252184748557, 0, 16.714434785532468,[-18.  -8. -15.],[-5.645647048950195, -0.8529532551765442, -6.5174713134765625]
5, 1.5012201559505447, 0, 16.60312039736801,[-18.  -8. -15.],[-6.034422397613525, -1.218906044960022, -6.072619438171387]
5, 1.5200487112904706, 0, 16.396841350745817,[-18.  -8. -15.],[-6.416835308074951, -1.1335269212722778, -6.276735782623291]
5, 1.5533632217341435, 0, 16.044110926670776,[-18.  -8. -15.],[-6.7967400550842285, -0.7881478071212769, -6.448515892028809]
7, 1.574110613418898, 0, 15.831984269009606,[-18.  -8. -15.],[-7.1746931076049805, -0.3431326746940613, -6.299503803253174]
6, 1.5714199883783986, 3.7219386100769043, 15.859177804081737,[-18.  -8. -15.],[-7.551928520202637, -0.0488491952419281, -5.741231441497803]
6, 1.551279067983365, 3.491931438446045, 16.065733471798566,[-18.  -8. -15.],[-8.170112609863281, -0.26346901059150696, -4.6964030265808105]
7, 1.537863718287227, 3.701314687728882, 16.206316930243585,[-18.  -8. -15.],[-8.766067504882812, -0.9142298698425293, -3.5422070026397705]
0, 1.5260068921779413, 23393.8203125, 16.332625876819993,[-18.  -8. -15.],[-9.349774360656738, -1.4109810590744019, -2.7601606845855713]
3, 1.522311672333811, 3.6874804496765137, 16.372392637687156,[-18.  -8. -15.],[-9.931706428527832, -2.1509196758270264, -3.1668097972869873]
1, 1.610782502681126, 3.694308042526245, 15.470406981319844,[-18.  -8. -15.],[-10.50779914855957, -2.9965779781341553, -3.5624303817749023]
1, 1.711190108715892, 3.655731201171875, 14.55971511736966,[-18.  -8. -15.],[-11.077197074890137, -3.447338581085205, -4.875648498535156]
1, 1.9036596123778047, 3.6660919189453125, 13.082599881537247,[-18.  -8. -15.],[-11.650802612304688, -3.6525752544403076, -6.104851722717285]
1, 2.11655699701378, 1.8889625072479248, 11.761635611642939,[-18.  -8. -15.],[-12.220149040222168, -3.7414863109588623, -7.273115634918213]
1, 2.359082806288418, 3.6290950775146484, 10.547338903644883,[-18.  -8. -15.],[-12.78832721710205, -3.780332088470459, -8.415903091430664]
1, 2.646136290432178, 1.9093835353851318, 9.397737098952259,[-18.  -8. -15.],[-13.35533332824707, -3.7974259853363037, -9.54547119140625]
1, 2.9919309934996616, 3.6947360038757324, 8.305807688852308,[-18.  -8. -15.],[-13.918129920959473, -3.8050129413604736, -10.661869049072266]
4, 3.4080696376579858, 3.7913856506347656, 7.285530859979703,[-18.  -8. -15.],[-14.485793113708496, -3.8087329864501953, -11.489568710327148]
7, 3.8172647680828433, 3.648172378540039, 6.499192031171531,[-18.  -8. -15.],[-15.049141883850098, -3.8111445903778076, -11.073112487792969]
