Action	Reward	Loss	Remaining	length	Punto	objetivo				
#############	EPISODIO	0#################								
Punto	Encontrado									
5	10,64617788	0	7,855548143	[	0	0	-10,]	[-3,170614161843166e-12	0,017508384	-9,839288711547852]
2	45	0	0,161662184	[	0	0	-10,]	[-2,3261011172781565e-11	0,073653318	-9,921125411987305]
Punto	Encontrado									
0	7,315038489	0	20,59791305	[19,	0	-2,]	[0,6291056275367737	0,356872678	-9,369979858398438]	
7	7,404156381	0	19,79731601	[19,	0	-2,]	[0,9340938925743103	0,337080836	-9,180289268493652]	
5	7,445773007	0	19,44343439	[19,	0	-2,]	[1,2356189489364624	0,327596277	-8,932413101196289]	
7	7,491039699	0	19,07194025	[19,	0	-2,]	[1,5416159629821777	0,355677098	-8,523256301879883]	
7	7,545738092	0	18,64066931	[19,	0	-2,]	[1,8471405506134033	0,389139175	-7,906826972961426]	
8	7,611566773	0	18,1455951	[19,	0	-2,]	[2,1497256755828857	0,435101479	-7,093199729919434]	
8	7,686934014	0	17,60857012	[19,	0	-2,]	[2,4518470764160156	0,530894935	-6,081577301025391]	
6	7,769723188	0	17,05234552	[19,	0	-2,]	[2,7510263919830322	0,655676663	-4,881889820098877]	
5	7,854601637	0	16,51557883	[19,	0	-2,]	[3,0523011684417725	0,7598297	-3,603546619415283]	
7	7,933219711	0	16,04611482	[19,	0	-2,]	[3,35556960105896	0,896954477	-2,177884340286255]	
1	7,999196487	0	15,67113183	[19,	0	-2,]	[3,6584227085113525	1,039123178	-0,8278754353523254]	
3	8,044818995	0	15,42133739	[19,	0	-2,]	[3,80710506439209	1,106954336	-0,17812956869602203]	
0	8,059651964	0	15,34172794	[19,	0	-2,]	[3,8070950508117676	1,104926109	-0,18283602595329285]	
5	8,059781999	9,830411911	15,34103345	[19,	0	-2,]	[3,8070921897888184	1,098244548	-0,16488143801689148]	
0	8,059471163	23490,96875	15,34269367	[19,	0	-2,]	[3,807070016860962	1,082884908	-0,23877942562103271]	
0	8,061294482	12028,50781	15,33295989	[19,	0	-2,]	[3,8070878982543945	0,878185391	-0,6277779340744019]	
4	8,071250719	9,827147484	15,28001247	[19,	0	-2,]	[3,8072328567504883	0,463024944	-1,2300657033920288]	
2	8,0827454	7,454998016	15,21930893	[19,	0	-2,]	[3,8075311183929443	0,030229803	-1,9769092798233032]	
8	8,087846166	9,498930931	15,1925165	[19,	0	-2,]	[3,8079001903533936	-0,216879591	-2,813845634460449]	
7	8,083483031	9,467967033	15,21542895	[19,	0	-2,]	[3,8082592487335205	-0,262019962	-3,2571024894714355]	
6	8,077696613	8,77048111	15,24591579	[19,	0	-2,]	[3,808619737625122	-0,282374203	-3,302259683609009]	
3	8,076978022	8,41394043	15,24970983	[19,	0	-2,]	[3,8090462684631348	-0,490128398	-3,0977940559387207]	
0	8,079111027	7,596521378	15,2384531	[19,	0	-2,]	[3,809582471847534	-0,925539613	-3,0476462841033936]	
5	8,076051388	6,803682327	15,25460491	[19,	0	-2,]	[3,8103950023651123	-1,549114108	-3,2348263263702393]	
3	8,064054862	7,599345684	15,31824568	[19,	0	-2,]	[3,811326026916504	-2,044610739	-3,424021005630493]	
1	8,050326323	7,553091526	15,39168886	[19,	0	-2,]	[3,8125343322753906	-2,660467148	-3,76947021484375]	
5	8,026647228	6,456301689	15,51992989	[19,	0	-2,]	[3,814131259918213	-3,329626322	-4,368334770202637]	
1	7,989363827	3,441764355	15,72596676	[19,	0	-2,]	[3,8159005641937256	-3,818865776	-5,119748115539551]	
1	7,947286685	5,372358322	15,96475618	[19,	0	-2,]	[3,817781686782837	-4,257002831	-6,247425079345703]	
1	7,885203126	5,503512383	16,32980238	[19,	0	-2,]	[3,819833278656006	-4,706212521	-7,78098201751709]	
8	7,791471247	2,558889866	16,9117016	[19,	0	-2,]	[3,8220300674438477	-5,138843536	-9,400846481323242]	
2	7,680849043	4,798431396	17,65080771	[19,	0	-2,]	[3,824324607849121	-5,385125637	-10,945191383361816]	
3	7,57459062	4,304782867	18,42056325	[19,	0	-2,]	[3,8265843391418457	-5,431743622	-12,727431297302246]	
2	7,455781461	4,79556179	19,36011787	[19,	0	-2,]	[3,828949451446533	-5,595213413	-14,653544425964355]	
7	7,32208227	2,541002512	20,53239817	[19,	0	-2,]	[3,8313255310058594	-5,638553143	-16,691688537597656]	
6	7,187515358	3,486390591	21,85698238	[19,	0	-2,]	[3,8336620330810547	-5,649903297	-18,329729080200195]	
1	7,084089967	4,724455357	22,99128675	[19,	0	-2,]	[3,83606219291687	-5,832210541	-19,86927604675293]	
2	6,987992664	2,894644976	24,15099824	[19,	0	-2,]	[3,838550567626953	-6,04110527	-21,80898666381836]	
5	6,875023729	1,496532917	25,6663292	[19,	0	-2,]	[3,8410251140594482	-6,05875206	-23,977346420288086]	
7	6,761982834	1,9174968	27,37712096	[19,	0	-2,]	[3,843470573425293	-5,871857166	-26,003578186035156]	
1	6,667269625	2,606485844	28,98915067	[19,	0	-2,]	[3,845884323120117	-5,649001598	-27,93516731262207]	
5	6,584055836	1,714183688	30,56454391	[19,	0	-2,]	[3,848296642303467	-5,412743568	-30,112939834594727]	
3	6,497387045	5,560221672	32,39150033	[19,	0	-2,]	[3,8505477905273438	-5,026443481	-32,27691650390625]	
8	6,419380436	1,579279661	34,22663742	[19,	0	-2,]	[3,8527560234069824	-4,749176025	-34,3066291809082]	
0	6,351497487	1,671292186	35,99599925	[19,	0	-2,]	[3,8547890186309814	-4,3638587	-36,24964904785156]	
3	6,291914782	3,270479918	37,70224315	[19,	0	-2,]	[3,8566982746124268	-4,117745876	-38,432430267333984]	
4	6,229449912	4,786307812	39,66859455	[19,	0	-2,]	[3,8586385250091553	-4,084339142	-40,61967849731445]	
3	6,171443112	2,297525883	41,68239701	[19,	0	-2,]	[3,8605434894561768	-4,102529526	-42,813873291015625]	
#############	EPISODIO	1#################								
Punto	Encontrado									
7	10,64612163	10,32448292	7,855636358	[	0	0	-10,]	[0,0	0	-4,550731182098389]
3	12,75281686	8,552394867	5,449268818	[	0	0	-10,]	[1,2208637963431745e-12	-0,014771502	-5,78201961517334]
