Index,Episode,Action,Reward,Remaining length,Loss,NN Output,Punto objetivo,Posición actual
1,0,6,47.06,22.94,0,"[0.         0.         0.         0.         0.         0.
 0.06788263 0.0641464  0.        ]",[-19.   3. -14.],[-7.07  1.12 -6.27]
2,0,2,55.66,14.34,0,"[0.         0.         0.2891857  0.         0.         0.
 0.27440166 0.15614465 0.        ]",[-19.   3. -14.],[-7.66  1.18 -6.64]
3,0,1,56.36,13.64,0,"[0.04449941 0.5657016  0.11373565 0.         0.         0.
 0.35758176 0.         0.        ]",[-19.   3. -14.],[-8.19  1.25 -7.14]
4,0,6,57.08,12.92,0,"[0.         0.         0.         0.         0.         0.
 0.4463157  0.10453828 0.        ]",[-19.   3. -14.],[-8.67  1.32 -7.52]
5,0,6,57.69,12.31,0,"[0.         0.         0.         0.         0.         0.
 0.44837418 0.14168587 0.        ]",[-19.   3. -14.],[-9.23  1.39 -7.89]
6,0,2,58.37,11.63,0,"[0.         0.         0.19194317 0.         0.         0.
 0.         0.13374385 0.        ]",[-19.   3. -14.],[-9.78  1.42 -8.32]
7,0,1,59.05,10.95,0,"[0.         0.4746726  0.30210674 0.         0.         0.
 0.3710357  0.2646746  0.        ]",[-19.   3. -14.],[-10.33   1.47  -8.86]
8,0,2,59.8,10.2,0,"[0.         0.         0.31680685 0.         0.         0.
 0.         0.         0.        ]",[-19.   3. -14.],[-10.87   1.54  -9.47]
9,0,6,60.58,9.42,0,"[0.        0.        0.        0.        0.        0.        0.3750329
 0.        0.       ]",[-19.   3. -14.],[-11.41   1.62 -10.09]
10,0,2,61.35,8.65,0,"[0.        0.        0.3315087 0.        0.        0.        0.
 0.        0.       ]",[-19.   3. -14.],[-11.93   1.69 -10.61]
11,0,1,62.05,7.95,0,"[0.         0.63221896 0.3873652  0.         0.         0.
 0.         0.06947897 0.        ]",[-19.   3. -14.],[-12.45   1.78 -11.25]
12,0,1,62.79,7.21,0,"[0.        0.6704402 0.        0.        0.        0.        0.
 0.        0.       ]",[-19.   3. -14.],[-12.98   1.87 -11.99]
13,0,1,63.55,6.45,0,"[0.         0.5941292  0.37483996 0.         0.         0.
 0.38329738 0.11235008 0.04290634]",[-19.   3. -14.],[-13.49   1.96 -12.82]
14,0,1,64.27,5.73,0,"[0.         0.56841314 0.26478595 0.         0.         0.
 0.4865237  0.         0.        ]",[-19.   3. -14.],[-13.98   2.05 -13.68]
15,0,1,64.88,5.12,0,"[0.         0.6516282  0.34867293 0.         0.         0.
 0.40267378 0.00380623 0.        ]",[-19.   3. -14.],[-14.45   2.13 -14.59]
16,0,2,65.33,4.67,0,"[0.         0.         0.32285458 0.         0.         0.
 0.         0.         0.        ]",[-19.   3. -14.],[-14.86   2.21 -15.43]
17,0,6,65.55,4.45,0,"[0.         0.         0.         0.         0.         0.
 0.22163278 0.0485943  0.        ]",[-19.   3. -14.],[-15.29   2.3  -16.29]
