Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action
20.];[ 5.19  2.59 -5.49];4
1615758193.1455836;w4;77;1;247.00558129662227;-1.610912615078623;9.04;30.96;[ 30.  15. -20.];[ 5.47  2.74 -5.63];4
1615758193.225583;w4;77;2;246.75267571071277;-1.7482681937669189;9.31;30.69;[ 30.  15. -20.];[ 5.71  2.85 -5.72];1
1615758193.3065827;w4;77;3;246.42211040827897;-1.6067681211342595;9.59;30.41;[ 30.  15. -20.];[ 5.96  2.97 -5.79];4
1615758193.3795838;w4;77;4;246.13803742075777;-1.7538059727683573;9.84;30.16;[ 30.  15. -20.];[ 6.18  3.08 -5.86];1
1615758193.449583;w4;77;5;246.01595151685996;-2.478031147938962;10.07;29.93;[ 30.  15. -20.];[ 6.38  3.17 -5.93];0
1615758193.5255835;w4;77;6;245.95805875059807;-1.6028222834600148;10.3;29.7;[ 30.  15. -20.];[ 6.58  3.26 -6.  ];4
1615758193.6885834;w4;77;7;245.9196510673919;-1.1371505758368143;10.73;29.27;[ 30.  15. -20.];[ 7.    3.43 -6.07];3
1615758193.7815847;w4;77;8;245.91255625120797;-1.1378920426580257;10.94;29.06;[ 30.  15. -20.];[ 7.22  3.52 -6.08];3
1615758193.874585;w4;77;9;245.89910787462418;-1.509294138871006;11.12;28.88;[ 30.  15. -20.];[ 7.41  3.59 -6.08];2
1615758193.9725845;w4;77;10;245.90649117985063;-1.5094517037067452;11.31;28.69;[ 30.  15. -20.];[ 7.61  3.66 -6.1 ];2
1615758194.0765839;w4;77;11;245.93271733749995;-1.6018681741427752;11.48;28.52;[ 30.  15. -20.];[ 7.78  3.72 -6.14];4
1615758194.1655834;w4;77;12;245.96808346912493;-1.509931963197774;11.62;28.38;[ 30.  15. -20.];[ 7.91  3.77 -6.17];2
1615758194.2335835;w4;77;13;245.94545561799677;-1.1382123165257156;11.71;28.29;[ 30.  15. -20.];[ 8.01  3.8  -6.17];3
1615758194.3085835;w4;77;14;245.95050477273554;-1.509954401497575;11.8;28.2;[ 30.  15. -20.];[ 8.11  3.83 -6.16];2
1615758194.3855827;w4;77;15;245.97135260449733;-1.7561446153546747;11.89;28.11;[ 30.  15. -20.];[ 8.21  3.86 -6.17];1
1615758194.4895847;w4;77;16;245.99116209927948;-1.5095998954942624;12.01;27.99;[ 30.  15. -20.];[ 8.34  3.89 -6.19];2
1615758194.585584;w4;77;17;245.97766315103388;-1.1380794286356044;12.11;27.89;[ 30.  15. -20.];[ 8.43  3.91 -6.23];3
1615758194.6745832;w4;77;18;245.9897452782653;-1.6013797159622465;12.19;27.81;[ 30.  15. -20.];[ 8.52  3.93 -6.24];4
1615758194.7655835;w4;77;19;245.99879845959833;-2.4736999872570475;12.25;27.75;[ 30.  15. -20.];[ 8.59  3.95 -6.23];0
1615758194.8445847;w4;77;20;245.97981031661652;-1.7567500953274262;12.3;27.7;[ 30.  15. -20.];[ 8.66  3.97 -6.22];1
1615758194.9045842;w4;77;21;245.99884900078715;-2.4737858256904;12.33;27.67;[ 30.  15. -20.];[ 8.71  3.98 -6.19];0
1615758194.9785833;w4;77;22;245.99392109593848;-1.6016540971631206;12.37;27.63;[ 30.  15. -20.];[ 8.76  3.99 -6.18];4
1615758195.0615845;w4;77;23;246.00415991788688;-1.1376665583366172;12.41;27.59;[ 30.  15. -20.];[ 8.82  4.   -6.15];3
1615758195.1455836;w4;77;24;245.98895565429234;-2.4734785369912022;12.45;27.55;[ 30.  15. -20.];[ 8.88  4.01 -6.13];0
1615758195.220583;w4;77;25;245.98503488615376;-1.1378566271537152;12.49;27.51;[ 30.  15. -20.];[ 8.94  4.02 -6.12];3
1615758195.2825832;w4;77;26;246.00420301974054;-1.137645103045147;12.51;27.49;[ 30.  15. -20.];[ 8.99  4.02 -6.09];3
1615758195.3605833;w4;77;27;246.0214213993607;-1.6018113813730923;12.54;27.46;[ 30.  15. -20.];[ 9.05  4.03 -6.05];4
1615758195.4225838;w4;77;28;246.03027962699244;-1.7566513165579165;12.57;27.43;[ 30.  15. -20.];[ 9.09  4.03 -6.05];1
1615758195.498583;w4;77;29;246.02575696158837;-1.5100566483491022;12.61;27.39;[ 30.  15. -20.];[ 9.14  4.04 -6.04];2
1615758195.572584;w4;77;30;246.0596842672723;-1.1370048057427884;12.66;27.34;[ 30.  15. -20.];[ 9.18  4.04 -6.06];3
1615758195.6435838;w4;77;31;246.08254544031396;-1.602421310662208;12.71;27.29;[ 30.  15. -20.];[ 9.23  4.05 -6.09];4
1615758195.7215831;w4;77;32;246.09098428860483;-1.6025501953363175;12.75;27.25;[ 30.  15. -20.];[ 9.28  4.05 -6.09];4
1615758195.7915833;w4;77;33;246.12971694612392;-1.5112103840839737;12.78;27.22;[ 30.  15. -20.];[ 9.32  4.05 -6.08];2
1615758195.859583;w4;77;34;246.21728735610372;-1.5123215375814607;12.81;27.19;[ 30.  15. -20.];[ 9.37  4.06 -6.08];2
1615758195.9365838;w4;77;35;246.3761741333201;-1.1332687088595972;12.85;27.15;[ 30.  15. -20.];[ 9.42  4.06 -6.07];3
1615758196.0165858;w4;77;36;246.55957022598076;-1.7514651818886535;12.89;27.11;[ 30.  15. -20.];[ 9.48  4.06 -6.07];1
1615758196.095583;w4;77;37;246.69596084939013;-1.6080539209204687;12.94;27.06;[ 30.  15. -20.];[ 9.54  4.06 -6.07];4
1615758196.177585;w4;77;38;246.82030308737643;-1.6092440833617898;12.99;27.01;[ 30.  15. -20.];[ 9.59  4.07 -6.09];4
1615758196.2765834;w4;77;39;247.01286322230197;-1.6111496337104827;13.04;26.96;[ 30.  15. -20.];[ 9.66  4.07 -6.1 ];4
1615758196.3515842;w4;77;40;247.28797914029178;-1.1232726242824285;13.09;26.91;[ 30.  15. -20.];[ 9.72  4.07 -6.1 ];3
1615758196.425583;w4;77;41;247.56999140105978;-1.1203112325249849;13.14;26.86;[ 30.  15. -20.];[ 9.78  4.07 -6.1 ];3
1615758196.5015836;w4;77;42;247.77313524159837;-2.493853305692312;13.18;26.82;[ 30.  15. -20.];[ 9.84  4.07 -6.1 ];0
1615758196.5985854;w4;77;43;247.88689493660547;-1.117101046776538;13.24;26.76;[ 30.  15. -20.];[ 9.92  4.07 -6.08];3
1615758196.7785838;w4;77;44;247.91035953033895;-1.6196420224846426;13.31;26.69;[ 30.  15. -20.];[10.08  4.07 -5.99];4
1615758196.9105835;w4;77;45;247.9259409616568;-1.6198438915039663;13.37;26.63;[ 30.  15. -20.];[10.17  4.08 -5.98];4
1615758196.9695828;w4;77;46;247.93983252185808;-1.6200364915388765;13.4;26.6;[ 30.  15. -20.];[10.21  4.08 -5.98];4
1615758197.0485845;w4;77;47;247.95455445678863;-1.6201441595551591;13.44;26.56;[ 30.  15. -20.];[10.27  4.08 -5.98];4
1615758197.129583;w4;77;48;247.96558716753134;-1.1159295677283396;13.49;26.51;[ 30.  15. -20.];[10.34  4.08 -5.98];3
1615758197.2055843;w4;77;49;247.96867685547664;-1.1158830191355058;13.55;26.45;[ 30.  15. -20.];[10.4   4.08 -5.98];3
1615758197.2905836;w4;77;50;247.98665316390617;-1.7371556233699414;13.61;26.39;[ 30.  15. -20.];[10.49  4.08 -5.98];1
1615758197.4375834;w4;77;51;248.04417022795565;-1.6207899005730857;13.73;26.27;[ 30.  15. -20.];[10.64  4.08 -6.  ];4
1615758197.5265832;w4;77;52;248.04820787224796;-1.7368039158395236;13.81;26.19;[ 30.  15. -20.];[10.72  4.08 -6.04];1
1615758197.619584;w4;77;53;248.0106899895672;-1.115211742442253;13.89;26.11;[ 30.  15. -20.];[10.81  4.08 -6.07];3
1615758197.684584;w4;77;54;248.02770333490747;-1.5322983312471128;13.95;26.05;[ 30.  15. -20.];[10.87  4.08 -6.1 ];2
1615758197.7505841;w4;77;55;248.02859990997797;-1.6208316288447833;14.01;25.99;[ 30.  15. -20.];[10.92  4.08 -6.14];4
1615758197.831584;w4;77;56;248.0253306791684;-1.5323695150032643;14.07;25.93;[ 30.  15. -20.];[10.99  4.08 -6.15];2
1615758197.9125845;w4;77;57;247.98752211803645;-1.1152942735737654;14.12;25.88;[ 30.  15. -20.];[11.06  4.08 -6.15];3
1615758197.9725828;w4;77;58;247.978249922102;-1.1154277439602673;14.15;25.85;[ 30.  15. -20.];[11.11  4.08 -6.14];3
1615758198.0475838;w4;77;59;248.01119502161646;-1.7368139386582437;14.19;25.81;[ 30.  15. -20.];[11.17  4.08 -6.13];1
1615758198.1195846;w4;77;60;248.01482751855696;-1.5324469161389942;14.24;25.76;[ 30.  15. -20.];[11.23  4.08 -6.14];2
1615758198.203583;w4;77;61;248.01283671966323;-1.7366101992440646;14.3;25.7;[ 30.  15. -20.];[11.29  4.08 -6.17];1
1615758198.2935848;w4;77;62;248.01020117983654;-1.1151100721822071;14.38;25.62;[ 30.  15. -20.];[11.36  4.08 -6.22];3
1615758198.3735833;w4;77;63;248.00861307954565;-1.6208040954528848;14.43;25.57;[ 30.  15. -20.];[11.41  4.08 -6.26];4
1615758198.447584;w4;77;64;248.00290498855446;-1.7365539112219963;14.48;25.52;[ 30.  15. -20.];[11.45  4.08 -6.29];1
1615758198.523583;w4;77;65;247.97648585085363;-1.1152956410817487;14.52;25.48;[ 30.  15. -20.];[11.49  4.08 -6.31];3
1615758198.623583;w4;77;66;247.992360065809;-1.5324989949672176;14.58;25.42;[ 30.  15. -20.];[11.55  4.08 -6.35];2
1615758198.8355837;w4;77;67;247.9957283025829;-1.7367684805925387;14.67;25.33;[ 30.  15. -20.];[11.66  4.08 -6.36];1
1615758199.050583;w4;77;68;248.00089909489142;-1.5325204152406098;14.76;25.24;[ 30.  15. -20.];[11.74  4.08 -6.42];2
1615758199.1145833;w4;77;69;247.99361400041008;-1.6207446667962686;14.8;25.2;[ 30.  15. -20.];[11.76  4.08 -6.46];4
1615758199.191583;w4;77;70;247.99123410896723;-1.5325465964983933;14.83;25.17;[ 30.  15. -20.];[11.78  4.08 -6.5 ];2
1615758199.266584;w4;77;71;247.95942888094947;-2.4967377747295174;14.86;25.14;[ 30.  15. -20.];[11.8   4.08 -6.51];0
1615758199.3425832;w4;77;72;247.95910034624723;-1.1154826950594463;14.87;25.13;[ 30.  15. -20.];[11.83  4.08 -6.51];3
1615758199.4485838;w4;77;73;247.98529708291903;-1.1151695061441196;14.87;25.13;[ 30.  15. -20.];[11.86  4.08 -6.46];3
1615758199.5315835;w4;77;74;247.9947968528217;-1.53237036464481;14.88;25.12;[ 30.  15. -20.];[11.89  4.08 -6.44];2
1615758199.6135833;w4;77;75;247.9970162750617;-1.115077522317766;14.9;25.1;[ 30.  15. -20.];[11.92  4.08 -6.44];3
1615758199.6975837;w4;77;76;247.9944172049994;-1.1150603017902796;14.92;25.08;[ 30.  15. -20.];[11.94  4.08 -6.44];3
1615758199.7565837;w4;77;77;247.99046441216814;-1.1151503363446105;14.93;25.07;[ 30.  15. -20.];[11.96  4.08 -6.44];3
1615758199.8485835;w4;77;78;247.99233832597457;-1.7368333845506492;14.95;25.05;[ 30.  15. -20.];[11.98  4.08 -6.44];1
1615758199.9305835;w4;77;79;247.9914211507598;-1.7368125348319436;14.96;25.04;[ 30.  15. -20.];[11.99  4.08 -6.45];1
