Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision;%CPU;%Memoria;Width;Height
1617350249.3845494;w0;0;0;4.361318929130135;-1.7826976716211969;2.74;74.52;[ 50.  50. -40.];[ 3.46  3.45 -5.07];5;False;0.0;67.04576619012897;128;128
1617350249.6124177;w0;0;1;2.883628598784136;-1.8588132369433872;3.17;73.66;[ 50.  50. -40.];[ 4.    4.   -5.45];4;False;0.0;66.9437452297643;128;128
1617350249.8397963;w0;0;2;1.9575061709044201;-1.8581250765892812;3.63;72.74;[ 50.  50. -40.];[ 4.59  4.55 -5.88];4;False;0.0;66.94585667014815;128;128
1617350250.0686665;w0;0;3;1.4601495756938172;-1.7836561630903085;4.18;71.63;[ 50.  50. -40.];[ 5.36  5.1  -6.5 ];3;False;0.0;66.93594729652852;128;128
1617350250.2915387;w0;0;4;1.2729418122390717;-1.6906116337641919;4.83;70.35;[ 50.  50. -40.];[ 6.34  5.62 -7.25];2;False;0.0;66.9181200214695;128;128
1617350250.5034175;w0;0;5;1.2541031512070784;-1.7797899541561748;5.43;69.13;[ 50.  50. -40.];[ 7.33  6.   -8.01];5;False;0.0;66.84455551900524;128;128
1617350250.7132967;w0;0;6;1.2642335096149848;-1.8485644774975505;6.06;67.88;[ 50.  50. -40.];[ 8.32  6.43 -8.82];4;False;0.0;66.83762135683558;128;128
1617350250.919179;w0;0;7;1.3462217530707916;-1.756261424400487;6.69;66.63;[ 50.  50. -40.];[ 9.29  6.88 -9.63];1;False;0.0;66.82584047923939;128;128
1617350251.1280599;w0;0;8;1.4062711977054427;-1.690876186219689;7.35;65.31;[ 50.  50. -40.];[ 10.35   7.33 -10.47];2;False;0.0;66.7336089242907;128;128
1617350251.3259466;w0;0;9;1.4636120679168718;-1.8449810340042772;7.97;64.06;[ 50.  50. -40.];[ 11.35   7.75 -11.28];4;False;100.0;66.729649973571;128;128
1617350251.5298293;w0;0;10;1.5639883474742315;-1.692414340526203;8.68;62.64;[ 50.  50. -40.];[ 12.44   8.3  -12.19];2;False;100.0;66.71964462538848;128;128
1617350251.7337132;w0;0;11;1.6047136212711468;-1.6928736070564618;9.44;61.12;[ 50.  50. -40.];[ 13.62   8.91 -13.1 ];2;False;0.0;66.6438967016182;128;128
1617350251.9405944;w0;0;12;1.6534082784234307;-1.7814993977758102;10.28;59.44;[ 50.  50. -40.];[ 14.89   9.66 -14.06];5;False;0.0;66.63067620557847;128;128
1617350252.145477;w0;0;13;1.7071675032539577;-1.8418824034084387;11.13;57.73;[ 50.  50. -40.];[ 16.1   10.52 -15.  ];4;False;0.0;66.61759967138309;128;128
1617350252.3438716;w0;0;14;1.7587101683313946;-1.7689613694551551;11.98;56.05;[ 50.  50. -40.];[ 17.28  11.39 -15.92];1;False;0.0;66.34716734676641;128;128
1617350252.5487545;w0;0;15;1.7797918420016106;-1.7807348978302866;12.85;54.31;[ 50.  50. -40.];[ 18.55  12.28 -16.83];5;False;0.0;66.53453368719154;128;128
1617350252.7546382;w0;0;16;1.7860906286070408;-1.8724889663045412;13.7;52.6;[ 50.  50. -40.];[ 19.79  13.13 -17.75];0;False;0.0;66.2773218586146;128;128
1617350252.9465268;w0;0;17;1.8154218010867926;-1.6968448905866313;14.45;51.1;[ 50.  50. -40.];[ 20.92  13.89 -18.51];2;False;0.0;66.47325392877872;128;128
1617350253.1429214;w0;0;18;1.7854943693524645;-1.8380180550778067;15.25;49.5;[ 50.  50. -40.];[ 22.15  14.75 -19.21];4;False;0.0;66.40436818625591;128;128
1617350253.343806;w0;0;19;1.7554723669709;-1.6988550998849952;16.07;47.87;[ 50.  50. -40.];[ 23.37  15.67 -19.92];2;False;0.0;66.12841732427238;128;128
1617350253.5450785;w0;0;20;1.70478396397165;-1.8361320212639871;16.99;46.03;[ 50.  50. -40.];[ 24.76  16.71 -20.67];4;False;100.0;66.1975190095617;128;128
1617350253.7449646;w0;0;21;1.658841218625128;-1.7011914803352044;17.92;44.17;[ 50.  50. -40.];[ 26.16  17.81 -21.4 ];2;False;0.0;66.07073661196836;128;128
1617350253.950375;w0;0;22;1.596196066408762;-1.85414496182167;18.93;42.15;[ 50.  50. -40.];[ 27.7   19.01 -22.15];0;False;0.0;66.23120608114026;128;128
1617350254.1602547;w0;0;23;1.5187516902314928;-1.7908312392650982;19.88;40.24;[ 50.  50. -40.];[ 29.18  20.2  -22.76];1;False;0.0;66.03414630986204;128;128
1617350254.3536606;w0;0;24;1.4376369734578764;-1.7065122745109134;20.65;38.7;[ 50.  50. -40.];[ 30.39  21.19 -23.17];2;False;0.0;66.1831948060486;128;128
1617350254.553424;w0;0;25;1.3006768952535281;-1.8444295882148878;21.59;36.82;[ 50.  50. -40.];[ 31.83  22.4  -23.77];0;False;0.0;66.13693506672992;128;128
1617350254.7533095;w0;0;26;1.2213183860135128;-1.8407776126708895;22.49;35.01;[ 50.  50. -40.];[ 33.19  23.6  -24.3 ];0;False;0.0;66.11992357545556;128;128
1617350254.9571936;w0;0;27;1.074686450512309;-1.7744007709359104;23.42;33.15;[ 50.  50. -40.];[ 34.67  24.93 -24.65];5;False;0.0;66.0817017057799;128;128
1617350255.1540806;w0;0;28;0.8646278733732708;-1.834336156651782;24.28;31.44;[ 50.  50. -40.];[ 36.11  26.24 -24.8 ];0;False;100.0;65.85791301873351;128;128
1617350255.3544717;w0;0;29;0.625479995551107;-1.721492534359383;25.06;29.88;[ 50.  50. -40.];[ 37.49  27.5  -24.84];2;False;0.0;66.02853179793227;128;128
1617350255.5633526;w0;0;30;0.34742580815275637;-1.801560585352549;25.84;28.32;[ 50.  50. -40.];[ 38.94  28.84 -24.78];3;False;0.0;65.82408198531061;128;128
1617350255.7622383;w0;0;31;0.11842134270928772;-1.7671675217743508;26.56;26.88;[ 50.  50. -40.];[ 40.25  30.13 -24.75];5;False;0.0;65.82357811885538;128;128
1617350255.9586349;w0;0;32;-0.13026272050295984;-1.8140006603241954;27.26;25.48;[ 50.  50. -40.];[ 41.63  31.45 -24.67];1;False;0.0;65.93380490434815;128;128
1617350256.1605196;w0;0;33;-0.3619945636420935;-1.744014355223261;27.91;24.18;[ 50.  50. -40.];[ 42.97  32.71 -24.63];2;False;0.0;65.94258657685367;128;128
1617350256.3614116;w0;0;34;-0.4744700660504728;-1.8164383307404939;28.57;22.85;[ 50.  50. -40.];[ 44.28  33.96 -24.76];1;False;0.0;65.91201867856944;128;128
1617350256.5582983;w0;0;35;-0.4928429463475237;-1.7633355286211192;29.28;21.44;[ 50.  50. -40.];[ 45.6   35.31 -25.01];5;False;0.0;65.66306066240203;128;128
1617350256.7671785;w0;0;36;-0.4737274056176526;-1.8027964248582649;30.05;19.91;[ 50.  50. -40.];[ 46.99  36.78 -25.42];3;False;0.0;65.82175460216024;128;128
1617350256.9699764;w0;0;37;-0.49810442252609044;-1.772509677949202;30.74;18.52;[ 50.  50. -40.];[ 48.3   38.15 -25.87];2;False;0.0;65.66092522837747;128;128
1617350257.1668625;w0;0;38;-0.6532421758765772;-1.8057397617629682;31.33;17.34;[ 50.  50. -40.];[ 49.49  39.32 -26.36];0;False;0.0;65.78857139703693;128;128
1617350257.3647497;w0;0;39;-0.9372427153608038;-1.779998513898696;31.9;16.2;[ 50.  50. -40.];[ 50.76  40.57 -26.85];2;False;0.0;65.74543083101256;128;128
1617350257.5546412;w0;0;40;-1.2877196622536793;-1.7614340083145366;32.35;15.3;[ 50.  50. -40.];[ 51.99  41.84 -27.21];5;False;0.0;65.7469904176597;128;128
1617350257.7455318;w0;0;41;-1.6135569642316894;-1.80746334790066;32.74;14.51;[ 50.  50. -40.];[ 53.19  43.17 -27.6 ];1;False;0.0;65.74399121256901;128;128
1617350257.9354227;w0;0;42;-1.9099627278794613;-1.7874804217979743;33.07;13.86;[ 50.  50. -40.];[ 54.38  44.53 -28.04];2;False;100.0;65.68954964176295;128;128
1617350258.1213167;w0;0;43;-2.1776858931875553;-1.8143108224555764;33.33;13.33;[ 50.  50. -40.];[ 55.54  45.87 -28.6 ];0;False;0.0;65.67757681504094;128;128
1617350258.3102148;w0;0;44;-2.4674051825397427;-1.7996531291439557;33.47;13.06;[ 50.  50. -40.];[ 56.67  47.25 -29.11];1;False;100.0;65.65687030309486;128;128
1617350258.49411;w0;0;45;-2.739439470708459;-1.8050050194966198;33.44;13.12;[ 50.  50. -40.];[ 57.79  48.63 -29.52];3;False;0.0;65.62831787063156;128;128
1617350258.6790042;w0;0;46;-2.9807044351034353;-1.7917118701459072;33.33;13.34;[ 50.  50. -40.];[ 58.89  50.   -30.06];1;False;0.0;65.58457746358906;128;128
1617350258.859901;w0;0;47;-3.2311381446789778;-1.7980544689600828;33.16;13.69;[ 50.  50. -40.];[ 59.95  51.23 -30.68];4;False;0.0;65.55835241427611;128;128
1617350259.0407977;w0;0;48;-3.573405213208022;-1.798865832581045;32.91;14.19;[ 50.  50. -40.];[ 61.01  52.41 -31.38];2;False;0.0;65.53884558436631;128;128
