Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision
1620154898.5431094;w0;0;1-> 0;1.0755127627440393;-1.9713975782024098;0.04;31.4;[ 20.  20. -20.];[ 1.17  1.16 -3.37];4;False
1620154898.7651;w0;0;2-> 0.23490667343139648;0.8984258077135849;-1.9063372833511891;0.04;30.6;[ 20.  20. -20.];[ 1.6   1.58 -3.91];0;False
1620154898.9833307;w0;0;3-> 0.4558987617492676;0.6614131486353374;-1.9509356723839413;0.05;29.82;[ 20.  20. -20.];[ 2.04  2.   -4.41];6;False
1620154899.198549;w0;0;4-> 0.6741282939910889;0.5345913321694464;-1.8967893330121557;0.05;29.06;[ 20.  20. -20.];[ 2.48  2.42 -4.89];0;False
1620154899.4024322;w0;0;5-> 0.8893475532531738;0.5241400345700882;-1.9500722259132959;0.05;28.34;[ 20.  20. -20.];[ 2.91  2.82 -5.3 ];6;False
1620154899.6033173;w0;0;6-> 1.0932302474975586;0.5166124317437784;-1.908967932424953;0.06;27.66;[ 20.  20. -20.];[ 3.34  3.21 -5.66];1;False
1620154899.8043523;w0;0;7-> 1.2931158542633057;0.5115004300020773;-1.9805879876785029;0.06;26.95;[ 20.  20. -20.];[ 3.75  3.6  -6.1 ];4;False
1620154899.9992404;w0;0;8-> 1.4941508769989014;0.5391224779623514;-1.9794647675259731;0.07;26.23;[ 20.  20. -20.];[ 4.15  3.96 -6.6 ];4;False
1620154900.1951287;w0;0;9-> 1.6900389194488525;0.5356706432314087;-1.9995213639587321;0.07;25.46;[ 20.  20. -20.];[ 4.58  4.33 -7.16];5;False
1620154900.3843057;w0;0;10-> 1.8859262466430664;0.5710979198335497;-1.9985963976172;0.08;24.7;[ 20.  20. -20.];[ 5.01  4.69 -7.71];5;False
1620154900.5666986;w0;0;11-> 2.075104236602783;0.6007148488271241;-1.9977140092994161;0.08;23.95;[ 20.  20. -20.];[ 5.43  5.05 -8.27];5;False
1620154900.7481976;w0;0;12-> 2.2564971446990967;0.5976443473505206;-1.996361115048192;0.09;23.23;[ 20.  20. -20.];[ 5.8   5.39 -8.83];5;False
1620154900.9265692;w0;0;13-> 2.4379961490631104;0.6158261594597709;-1.9474642084916127;0.1;22.53;[ 20.  20. -20.];[ 6.16  5.73 -9.4 ];6;False
1620154901.1034884;w0;0;14-> 2.617368459701538;0.6228476152099067;-1.9470178286520428;0.1;21.83;[ 20.  20. -20.];[  6.49   6.07 -10.  ];6;False
1620154901.2833998;w0;0;15-> 2.794286012649536;0.6186153372489134;-1.9781536541677534;0.11;21.16;[ 20.  20. -20.];[  6.81   6.4  -10.58];2;False
1620154901.4554217;w0;0;16-> 2.9741995334625244;0.6289470974372153;-1.914617277785584;0.12;20.55;[ 20.  20. -20.];[  7.09   6.7  -11.11];3;False
1620154901.6303213;w0;0;17-> 3.1462199687957764;0.6541927066423057;-1.9081350377295163;0.13;19.91;[ 20.  20. -20.];[  7.39   7.03 -11.68];0;False
1620154901.8059957;w0;0;18-> 3.321119785308838;0.6277600508521162;-1.914221730293848;0.13;19.29;[ 20.  20. -20.];[  7.69   7.36 -12.21];3;False
1620154901.975898;w0;0;19-> 3.496793031692505;0.6569841249243851;-1.9458960070286075;0.14;18.73;[ 20.  20. -20.];[  7.98   7.67 -12.65];6;False
1620154902.1538143;w0;0;20-> 3.666696786880493;0.638721087215278;-1.9141501503494147;0.15;18.13;[ 20.  20. -20.];[  8.29   7.98 -13.13];3;False
1620154902.3323367;w0;0;21-> 3.844590902328491;0.6668196935160875;-1.9815916023708422;0.16;17.61;[ 20.  20. -20.];[  8.56   8.26 -13.56];2;False
1620154902.5002408;w0;0;22-> 4.02313494682312;0.6638982533007485;-1.9726917936372417;0.17;17.13;[ 20.  20. -20.];[  8.82   8.51 -13.97];4;False
1620154902.6755102;w0;0;23-> 4.191038608551025;0.6410635889156606;-1.915705052329983;0.18;16.59;[ 20.  20. -20.];[  9.11   8.8  -14.43];0;False
1620154902.847412;w0;0;24-> 4.366308212280273;0.6594546498416487;-1.9825980367402936;0.19;16.06;[ 20.  20. -20.];[  9.41   9.08 -14.84];2;False
1620154903.0001376;w0;0;25-> 4.538210153579712;0.6432178996202365;-1.9830401973977592;0.2;15.61;[ 20.  20. -20.];[  9.68   9.34 -15.15];2;False
1620154903.1574962;w0;0;26-> 4.690935373306274;0.6274158261545342;-1.9719804727585546;0.21;15.14;[ 20.  20. -20.];[  9.96   9.62 -15.47];4;False
1620154903.3134072;w0;0;27-> 4.847294807434082;0.6280507973147103;-1.919207290702324;0.22;14.71;[ 20.  20. -20.];[ 10.21   9.88 -15.75];0;False
1620154903.486308;w0;0;28-> 5.004207611083984;0.676673256549972;-1.9504772842600342;0.23;14.2;[ 20.  20. -20.];[ 10.52  10.2  -16.05];6;False
1620154903.648215;w0;0;29-> 5.1771063804626465;0.6906824324639373;-1.9184039756108442;0.24;13.74;[ 20.  20. -20.];[ 10.81  10.49 -16.26];1;False
1620154903.8191204;w0;0;30-> 5.339012861251831;0.7129579048025638;-1.9216161999632768;0.25;13.23;[ 20.  20. -20.];[ 11.13  10.82 -16.54];0;False
1620154903.9830272;w0;0;31-> 5.5099194049835205;0.7391137432674304;-1.919963423079622;0.26;12.77;[ 20.  20. -20.];[ 11.41  11.1  -16.8 ];1;False
1620154904.1522381;w0;0;32-> 5.6738502979278564;0.7550122711908371;-1.920641481108029;0.28;12.26;[ 20.  20. -20.];[ 11.73  11.42 -17.08];1;False
1620154904.3153596;w0;0;33-> 5.84303617477417;0.7627233754105047;-1.9817651895905761;0.29;11.8;[ 20.  20. -20.];[ 12.01  11.71 -17.43];2;False
1620154904.4760108;w0;0;34-> 6.006154537200928;0.7434426987733302;-1.9685677453963137;0.31;11.29;[ 20.  20. -20.];[ 12.31  12.01 -17.86];4;False
1620154904.6423337;w0;0;35-> 6.166809558868408;0.7060538803505509;-1.9555025462984434;0.33;10.8;[ 20.  20. -20.];[ 12.61  12.32 -18.28];5;False
1620154904.8102362;w0;0;36-> 6.333130359649658;0.6897593726824822;-1.9537663918532175;0.34;10.32;[ 20.  20. -20.];[ 12.9   12.62 -18.69];5;False
1620154904.9771698;w0;0;37-> 6.502034425735474;0.662479565664527;-1.9532933694217878;0.36;9.82;[ 20.  20. -20.];[ 13.21  12.96 -19.15];6;False
1620154905.1330802;w0;0;38-> 6.667967081069946;0.6069292305192722;-1.953408590028531;0.38;9.39;[ 20.  20. -20.];[ 13.48  13.26 -19.58];6;False
1620154905.290199;w0;0;39-> 6.822878837585449;0.5869361341270278;-1.9350150554372538;0.39;8.99;[ 20.  20. -20.];[ 13.74  13.55 -19.99];0;False
1620154905.4495463;w0;0;40-> 6.979997634887695;0.5606601465936749;-1.9657185284614414;0.41;8.61;[ 20.  20. -20.];[ 13.99  13.84 -20.35];4;False
1620154905.6074593;w0;0;41-> 7.14034366607666;0.5291849108847457;-1.9653873490064289;0.42;8.23;[ 20.  20. -20.];[ 14.25  14.15 -20.68];4;False
1620154905.774364;w0;0;42-> 7.298256874084473;0.4764370661690136;-1.9218694512795857;0.44;7.86;[ 20.  20. -20.];[ 14.52  14.45 -21.  ];3;False
1620154905.9312732;w0;0;43-> 7.465161561965942;0.43593569067897064;-1.9784127857059897;0.46;7.52;[ 20.  20. -20.];[ 14.8   14.74 -21.32];2;False
1620154906.0897133;w0;0;44-> 7.622071743011475;0.39441506582050945;-1.9424209158777797;0.47;7.19;[ 20.  20. -20.];[ 15.08  15.02 -21.63];0;False
1620154906.252627;w0;0;45-> 7.780511140823364;0.31032152872946117;-1.925190946873911;0.49;6.84;[ 20.  20. -20.];[ 15.38  15.34 -21.93];3;False
1620154906.4111807;w0;0;46-> 7.9434990882873535;0.30239142270728925;-1.9264218212307762;0.51;6.5;[ 20.  20. -20.];[ 15.68  15.64 -22.16];3;False
1620154906.5638535;w0;0;47-> 8.101979494094849;0.24577881514428745;-1.923424278834118;0.52;6.2;[ 20.  20. -20.];[ 15.97  15.93 -22.37];1;False
1620154906.7172205;w0;0;48-> 8.253652095794678;0.1807362953449123;-1.9290697158338381;0.54;5.95;[ 20.  20. -20.];[ 16.26  16.2  -22.62];3;False
1620154906.877973;w0;0;49-> 8.408016681671143;0.15884363503684495;-1.9740823477062603;0.55;5.75;[ 20.  20. -20.];[ 16.56  16.47 -22.96];2;False
1620154907.0304224;w0;0;50-> 8.567771673202515;0.07683290515120111;-1.9730911762353753;0.56;5.6;[ 20.  20. -20.];[ 16.85  16.72 -23.27];2;False
1620154907.1893313;w0;0;51-> 8.72122073173523;-0.026168000158092397;-1.9608639916332722;0.56;5.5;[ 20.  20. -20.];[ 17.14  16.98 -23.6 ];4;False
1620154907.3444493;w0;0;52-> 8.88012981414795;-0.12102714989122809;-1.9350893377980953;0.57;5.44;[ 20.  20. -20.];[ 17.44  17.25 -23.93];3;False
1620154907.4993603;w0;0;53-> 9.035247325897217;-0.21182588584999862;-1.9254776031367895;0.57;5.42;[ 20.  20. -20.];[ 17.74  17.53 -24.26];1;False
1620154907.6562705;w0;0;54-> 9.190158128738403;-0.2951143927804599;-1.9511012040212652;0.57;5.49;[ 20.  20. -20.];[ 18.05  17.8  -24.63];0;False
1620154907.8123543;w0;0;55-> 9.347068786621094;-0.36469325549846365;-1.9340952047148892;0.56;5.64;[ 20.  20. -20.];[ 18.35  18.05 -25.03];5;False
1620154907.9662664;w0;0;56-> 9.503152132034302;-0.4200569617824792;-1.9517213190813567;0.55;5.78;[ 20.  20. -20.];[ 18.65  18.3  -25.36];0;False
1620154908.1207607;w0;0;57-> 9.656064987182617;-0.42988834028427014;-1.951787237174007;0.54;5.93;[ 20.  20. -20.];[ 18.95  18.56 -25.66];0;False
1620154908.272978;w0;0;58-> 9.810559272766113;-0.4712838860215858;-1.9247110023563883;0.53;6.02;[ 20.  20. -20.];[ 19.22  18.79 -25.84];1;False
1620154908.42777;w0;0;59-> 9.963775396347046;-0.49540138462340844;-1.9339444562245989;0.53;6.11;[ 20.  20. -20.];[ 19.5   19.04 -26.01];5;False
1620154908.5836868;w0;0;60-> 10.118568181991577;-0.5390891743806732;-1.9336153595171077;0.52;6.28;[ 20.  20. -20.];[ 19.78  19.29 -26.24];5;False
1620154908.7417014;w0;0;61-> 10.274486541748047;-0.5806238086927827;-1.944290956553562;0.51;6.47;[ 20.  20. -20.];[ 20.04  19.52 -26.45];6;False
1620154908.8947976;w0;0;62-> 10.432499885559082;-0.6297906028612039;-1.9498560024774945;0.5;6.69;[ 20.  20. -20.];[ 20.31  19.78 -26.68];0;False
1620154909.0477436;w0;0;63-> 10.585596799850464;-0.6926062304640073;-1.9438476670665006;0.49;6.9;[ 20.  20. -20.];[ 20.56  20.02 -26.87];3;False
1620154909.2023137;w0;0;64-> 10.737542152404785;-0.7307193659852894;-1.9450549753825743;0.48;7.05;[ 20.  20. -20.];[ 20.82  20.28 -27.  ];6;False
